C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_05_750.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_05_750.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_05_750.jpg,0,0,0,1.704197E-06
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_05_818.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_05_818.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_05_818.jpg,0,0,0,2.854868E-06
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_05_886.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_05_886.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_05_886.jpg,0,0,0,7.845751E-06
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_05_955.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_05_955.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_05_955.jpg,0,0,0,5.482483E-06
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_022.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_022.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_022.jpg,0,0,0,1.406414E-05
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_092.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_092.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_092.jpg,0,0,0,4.227732E-06
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_164.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_164.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_164.jpg,-0.004694836,0.2143893,0,0.09743868
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_232.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_232.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_232.jpg,-0.01408451,0.3954019,0,0.3522856
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_303.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_303.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_303.jpg,0,0.6297412,0,0.8084508
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_371.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_371.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_371.jpg,0,0.8129926,0,1.359019
C:\Users\Bastian\Desktop\Selfdriving\IMG\center_2021_08_09_15_13_06_438.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\left_2021_08_09_15_13_06_438.jpg,C:\Users\Bastian\Desktop\Selfdriving\IMG\right_2021_08_09_15_13_06_438.jpg,0,0.9929383,0,2.030433
